"id","name","total"
"270","ayman","26168.334"
"271","ayman","55954.297"
"272","ayman","62627.594"
"273","ayman","68745.96"
"274","ayman","66160.62"
"275","ayman","93213.1"
"276","ayman","61228.543"
"277","ayman","5348.9746"
"278","ayman","7678.7056"
"279","ayman","86321.836"
"280","ayman","49832.92"
"281","ayman","88179.805"
"282","ayman","84290.58"
"283","ayman","57332.61"
"284","ayman","45310.03"
"285","ayman","65096.266"
"286","ayman","20818.322"
"287","ayman","64511.24"
"288","ayman","93760.72"
"289","ayman","59383.5"
"290","ayman","82571.68"
"291","ayman","83237.05"
"292","ayman","25328.387"
"293","ayman","25520.271"
"294","ayman","87279.34"
"249","ayman","5873.6978"
"295","ayman","6279.0034"
"296","ayman","66884.664"
"1","ayman","75093.54"
"2","ayman","98803.484"
"3","ayman","86674.23"
"4","ayman","80344.09"
"5","ayman","81230.74"
"6","ayman","13390.518"
"7","ayman","29776.31"
"8","ayman","85844.63"
"9","ayman","51736.04"
"10","ayman","57270.38"
"11","ayman","50939.016"
"12","ayman","33445.76"
"13","ayman","54689.004"
"14","ayman","18890.07"
"15","ayman","37055.184"
"16","ayman","12038.643"
"17","ayman","94855.69"
"18","ayman","92471.305"
"19","ayman","33928.074"
"20","ayman","97434.02"
"21","ayman","79150.4"
"22","ayman","50170.66"
"23","ayman","18686.182"
"24","ayman","2023.6849"
"25","ayman","23870.135"
"26","ayman","16317.999"
"27","ayman","45038.004"
"28","ayman","30094.678"
"29","ayman","61814.062"
"30","ayman","7614.6064"
"31","ayman","26304.627"
"32","ayman","82888.98"
"33","ayman","92098.734"
"34","ayman","65087.594"
"35","ayman","55588.723"
"36","ayman","17291.068"
"37","ayman","3936.3503"
"38","ayman","92391.336"
"39","ayman","68505.56"
"40","ayman","4547.3574"
"41","ayman","62407.477"
"42","ayman","48131.87"
"43","ayman","33590.33"
"44","ayman","78695.35"
"45","ayman","27908.992"
"46","ayman","29822.367"
"47","ayman","70716.586"
"48","ayman","44387.156"
"49","ayman","1267.5703"
"50","ayman","27866.293"
"51","ayman","36765.664"
"52","ayman","39100.32"
"53","ayman","48824.35"
"54","ayman","25175.697"
"55","ayman","96152.17"
"56","ayman","52276.605"
"57","ayman","77963.29"
"58","ayman","32316.72"
"59","ayman","50720.746"
"60","ayman","26744.049"
"61","ayman","5396.491"
"62","ayman","72013.08"
"63","ayman","77463.484"
"64","ayman","24761.998"
"65","ayman","87235.234"
"66","ayman","92040.42"
"67","ayman","27975.852"
"68","ayman","99833.99"
"69","ayman","54864.29"
"70","ayman","57159.984"
"71","ayman","97336.42"
"72","ayman","93724.69"
"73","ayman","56661.17"
"74","ayman","3031.385"
"75","ayman","50212.164"
"76","ayman","72104.26"
"77","ayman","30456.633"
"78","ayman","87218.38"
"79","ayman","42525.195"
"80","ayman","60462.3"
"81","ayman","37829.363"
"82","ayman","18557.525"
"83","ayman","46005.266"
"84","ayman","46682.125"
"85","ayman","11344.772"
"86","ayman","97861.055"
"87","ayman","4208.0996"
"88","ayman","46430.39"
"89","ayman","68950.375"
"90","ayman","15185.887"
"91","ayman","85535.09"
"92","ayman","23696.434"
"93","ayman","49389.887"
"94","ayman","20370.717"
"95","ayman","62644.047"
